Standard_Samp,ConcIS,SignalIS,Conc,Signal,RecoveryMean,RecoverySD
1,500,394468.524495,200,306293.499121,0.9820614,0.0852387
1,500,324368.188831,200,293362.999818,0.9820614,0.0852387
3,500,552852.628702,400,1661241.265757,0.9820614,0.0852387
3,500,508872.659637,400,1576962.260904,0.9820614,0.0852387
5,500,739533.884202,600,2384496.077966,0.9820614,0.0852387
5,500,756572.250143,600,2485089.040385,0.9820614,0.0852387
7,500,665580.479579,800,3108150.271718,0.9820614,0.0852387
7,500,782060.933104,800,3747878.96885,0.9820614,0.0852387
9,500,1149442.008663,1000,6870029.59107,0.9820614,0.0852387
9,500,533360.865721,1000,3448354.448219,0.9820614,0.0852387
9,500,571512.540411,1000,3678821.504411,0.9820614,0.0852387
10,500,738127.575484,1200,5347576.562135,0.9820614,0.0852387
10,500,744135.116915,1200,5953139.946194,0.9820614,0.0852387
12,500,781031.24377,1600,8283866.408904,0.9820614,0.0852387
12,500,495752.088266,1600,5386998.311246,0.9820614,0.0852387
